experiment,n_per_set,sae_seed,dictionary_seed,data_seed,training_samples,train_batch_size,optimizer_steps,k,learning_rate,checkpoint_source,hungarian_90,mmcs,assigned_cosine_min,assigned_cosine_p10,assigned_cosine_median,evaluation_samples,reconstruction_mse,explained_variance,mean_l0,std_l0,fraction_l0_0,fraction_l0_1,fraction_l0_2,fraction_l0_3,fraction_l0_ge4,evaluation_dead_latents,firing_frequency_p10,firing_frequency_median,decoder_max_offdiag_cosine,topk_threshold
8B,32,0,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.015625,0.7561412453651428,0.11764512211084366,0.6792304515838623,0.7612069249153137,16384,0.0011944231810048223,0.9982092976570129,2.0,0.8691911101341248,0.1104736328125,0.02801513671875,0.630859375,0.21234130859375,0.018310546875,5,0.02557983435690403,0.02777099609375,0.7649497985839844,0.14650678508530823
8B,32,1,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.9375,0.948289155960083,0.0038359693717211485,0.9934282302856445,0.9989186525344849,16384,0.0036805972922593355,0.9944818615913391,2.0,0.6819735169410706,0.06964111328125,0.018310546875,0.759765625,0.14697265625,0.00531005859375,3,0.02685546875,0.0284423828125,0.8849401473999023,0.09270005142899045
8B,32,2,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.96875,0.9629597067832947,-0.25438061356544495,0.9852449893951416,0.9854136109352112,16384,0.002882003551349044,0.9956791996955872,2.0,0.7626696825027466,0.07574462890625,0.01025390625,0.80487060546875,0.0572509765625,0.0518798828125,2,0.02687377855181694,0.02838134765625,0.5450179576873779,0.09282456174541935
8B,32,3,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.9375,0.9563364386558533,-0.033392973244190216,0.9842623472213745,0.9843136072158813,16384,0.00018123883637599647,0.999728262424469,2.0,0.613169252872467,0.0596923828125,0.00177001953125,0.8233642578125,0.11004638671875,0.005126953125,2,0.0279541015625,0.02935791015625,0.8184832334518433,0.06424996860127931
8B,32,4,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.875,0.9468309879302979,0.14309358596801758,0.7543939352035522,0.996060848236084,16384,0.0025690016336739063,0.9961484670639038,2.0,0.8077535629272461,0.1014404296875,0.01312255859375,0.67822265625,0.19842529296875,0.0087890625,4,0.02589721605181694,0.0277099609375,0.7128546833992004,0.11773729312243147
8B,64,0,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.9453125,0.9614661931991577,-0.029979005455970764,0.9946854114532471,0.9990965127944946,16384,0.0012573708081617951,0.9981149435043335,2.0,0.6291851997375488,0.062744140625,0.005615234375,0.80462646484375,0.1229248046875,0.00408935546875,6,0.01308593712747097,0.01446533203125,0.6804057359695435,0.07122760914865969
8B,64,1,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.9296875,0.9527462124824524,0.007871569134294987,0.994940996170044,0.9994227886199951,16384,0.002283301670104265,0.9965768456459045,2.0,0.6481079459190369,0.06500244140625,0.0101318359375,0.78961181640625,0.13037109375,0.0048828125,7,0.012921142391860485,0.014404296875,0.7700501680374146,0.08036118605531625
8B,64,2,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.9453125,0.9692891836166382,0.03270646929740906,0.9950171709060669,0.9986114501953125,16384,0.0013562780804932117,0.9979666471481323,2.0,0.5913809537887573,0.05499267578125,0.00701904296875,0.8238525390625,0.11126708984375,0.00286865234375,5,0.01336669921875,0.0146484375,0.6656217575073242,0.06280129766706871
8B,64,3,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.921875,0.9482476115226746,0.012115498073399067,0.9845820069313049,0.9987687468528748,16384,0.0022970116697251797,0.996556282043457,2.0,0.7485337257385254,0.08349609375,0.0067138671875,0.7578125,0.1314697265625,0.0205078125,5,0.0126953125,0.01416015625,0.9148113131523132,0.09828925631949234
8B,64,4,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.9453125,0.9587154388427734,0.041176922619342804,0.9952557682991028,0.997930109500885,16384,0.002126829233020544,0.9968113899230957,2.0,0.7835123538970947,0.08551025390625,0.006103515625,0.7706298828125,0.10211181640625,0.03564453125,5,0.01290283165872097,0.01422119140625,0.8439925312995911,0.09817668629256619
