experiment,n_per_set,sae_seed,dictionary_seed,data_seed,training_samples,train_batch_size,optimizer_steps,k,learning_rate,checkpoint_source,hungarian_90,mmcs,assigned_cosine_min,assigned_cosine_p10,assigned_cosine_median,evaluation_samples,reconstruction_mse,explained_variance,mean_l0,std_l0,fraction_l0_0,fraction_l0_1,fraction_l0_2,fraction_l0_3,fraction_l0_ge4,evaluation_dead_latents,firing_frequency_p10,firing_frequency_median,decoder_max_offdiag_cosine,topk_threshold
8A,256,1,0,0,125000000,16384,7630,2.0,0.000125,new_training_run,0.94140625,0.9635511636734009,0.0038580819964408875,0.9965477585792542,0.9989113807678223,16384,0.003093557432293892,0.9953621029853821,2.0,0.613169252872467,0.05828857421875,0.0084228515625,0.8126220703125,0.11651611328125,0.004150390625,16,0.00299072265625,0.003662109375,0.9012422561645508,0.06344961637750171
8A,256,2,0,0,125000000,16384,7630,2.0,0.000125,new_training_run,0.943359375,0.9631223082542419,0.022643782198429108,0.9968787431716919,0.999506413936615,16384,0.0024344332050532103,0.9963502883911133,2.0,0.6685053706169128,0.06597900390625,0.00665283203125,0.80609130859375,0.10540771484375,0.015869140625,17,0.0029296875,0.003662109375,0.8904701471328735,0.07234928000415004
8A,256,0,0,0,125000000,16384,7630,2.0,0.00015,new_training_run,0.947265625,0.9714300632476807,0.008434679359197617,0.9989585876464844,0.9993329644203186,16384,0.0014954491052776575,0.9977580308914185,2.0,0.5806532502174377,0.05194091796875,0.00543212890625,0.84027099609375,0.09576416015625,0.006591796875,9,0.002996826311573386,0.00372314453125,0.7568898797035217,0.05542860718544513
8A,256,1,0,0,125000000,16384,7630,2.0,0.00015,new_training_run,0.947265625,0.9685620069503784,0.0037405043840408325,0.997946560382843,0.999886691570282,16384,0.000603720429353416,0.9990949034690857,2.0,0.5824374556541443,0.0548095703125,0.0018310546875,0.83526611328125,0.104736328125,0.00335693359375,14,0.00299072265625,0.00372314453125,0.8217214345932007,0.05901385938726071
8A,256,2,0,0,125000000,16384,7630,2.0,0.00015,new_training_run,0.955078125,0.9706692695617676,0.01575709693133831,0.9996839165687561,0.99974524974823,16384,0.0005871765315532684,0.9991196990013123,2.0,0.5864060521125793,0.0543212890625,0.00128173828125,0.841796875,0.09564208984375,0.0069580078125,15,0.00299072265625,0.00372314453125,0.8879202604293823,0.05668362763669855
8A,256,0,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.955078125,0.9669991135597229,0.016001660376787186,0.998102068901062,0.9994010329246521,16384,0.0017463633557781577,0.997381865978241,2.0,0.5545223951339722,0.04736328125,0.00518798828125,0.85113525390625,0.0933837890625,0.0029296875,15,0.0030517578125,0.0037841796875,0.9480159878730774,0.05237544580511371
8A,256,1,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.947265625,0.9651480317115784,0.003558918833732605,0.997600257396698,0.9999002814292908,16384,0.0008652328979223967,0.9987028241157532,2.0,0.5902445912361145,0.05633544921875,0.001953125,0.830322265625,0.108154296875,0.00323486328125,16,0.00299072265625,0.00372314453125,0.8241592645645142,0.06103500423582933
8A,256,2,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.955078125,0.9673939943313599,0.034795016050338745,0.9977278709411621,0.9999055862426758,16384,0.0007225582376122475,0.998916745185852,2.0,0.6163463592529297,0.05902099609375,0.00177001953125,0.829833984375,0.099609375,0.009765625,15,0.002935791155323386,0.003662109375,0.8894875049591064,0.06354196209596293
8A,256,0,0,0,125000000,16384,7630,2.0,0.0002,new_training_run,0.95703125,0.9702153205871582,0.011433038860559464,0.9979096055030823,0.9999171495437622,16384,0.00045690289698541164,0.9993150234222412,2.0,0.5616312623023987,0.0509033203125,0.0018310546875,0.8468017578125,0.0972900390625,0.003173828125,13,0.002996826311573386,0.00372314453125,0.8540526032447815,0.056332640390878805
8A,256,1,0,0,125000000,16384,7630,2.0,0.0002,new_training_run,0.951171875,0.9656709432601929,0.001008394407108426,0.9977326393127441,0.9998936057090759,16384,0.0007055083988234401,0.9989423155784607,2.0,0.570686936378479,0.05279541015625,0.0020751953125,0.83984375,0.1029052734375,0.00238037109375,15,0.00299072265625,0.00372314453125,0.8410505652427673,0.05703125566681529
8A,256,2,0,0,125000000,16384,7630,2.0,0.0002,new_training_run,0.947265625,0.9643079042434692,0.007015202194452286,0.9977508187294006,0.9999138116836548,16384,0.0006813266081735492,0.9989785552024841,2.0,0.6511145830154419,0.06396484375,0.00238037109375,0.820068359375,0.09783935546875,0.0157470703125,15,0.00299072265625,0.003662109375,0.9579533338546753,0.0700395705375239
8A,256,0,0,0,125000000,16384,7630,2.0,0.00025,new_training_run,0.958984375,0.9720598459243774,0.014512836933135986,0.9998918771743774,0.9999147653579712,16384,0.00036221739719621837,0.9994569420814514,2.0,0.5260545611381531,0.04449462890625,0.00213623046875,0.86492919921875,0.0858154296875,0.00262451171875,11,0.0030517578125,0.0037841796875,0.8669620752334595,0.04903724759073767
8A,256,1,0,0,125000000,16384,7630,2.0,0.00025,new_training_run,0.947265625,0.9660803079605103,0.022456228733062744,0.9979156255722046,0.9998521208763123,16384,0.0006019469583407044,0.9990975856781006,2.0,0.5941610336303711,0.05572509765625,0.00152587890625,0.83709716796875,0.09881591796875,0.0068359375,15,0.00299072265625,0.00372314453125,0.8859933018684387,0.05887784101772075
8A,256,2,0,0,125000000,16384,7630,2.0,0.00025,new_training_run,0.953125,0.9643670320510864,0.023388560861349106,0.9979482889175415,0.9999008178710938,16384,0.0005699368193745613,0.9991455674171448,2.0,0.5870302319526672,0.05401611328125,0.00146484375,0.84344482421875,0.093017578125,0.008056640625,19,0.0029296875,0.00372314453125,0.8493512868881226,0.05998222453266785
